g = [('a', 5), ('b', -1), ('a', -1), ('b', 10), ('a', 9), ('b', -10), ('a', -1)] n=15, fixed words = 11076507
g = [('a', 2), ('b', -7), ('a', -6), ('b', 2), ('a', 7), ('b', 9), ('a', -5)] n=15, fixed words = 9568503
g = [('b', -3), ('a', -10), ('b', -9), ('a', 9), ('b', 5), ('a', -2), ('b', -7)] n=15, fixed words = 11008791
g = [('a', -8), ('b', 7), ('a', 7), ('b', 1), ('a', -8), ('b', -4), ('a', -4)] n=15, fixed words = 9568503
g = [('a', -5), ('b', 5), ('a', 3), ('b', 3), ('a', -10), ('b', 5), ('a', -1)] n=15, fixed words = 9568503
g = [('a', -1), ('b', 7), ('a', -8), ('b', 3), ('a', -6), ('b', 1), ('a', -10)] n=15, fixed words = 9568503
g = [('a', -9), ('b', 1), ('a', -9), ('b', 6), ('a', -8), ('b', 3), ('a', -5)] n=15, fixed words = 9568503
g = [('b', -5), ('a', -1), ('b', 9), ('a', 2), ('b', -8), ('a', 4), ('b', 6)] n=15, fixed words = 9568503
g = [('a', 4), ('b', -8), ('a', 10), ('b', -9), ('a', -2), ('b', -10), ('a', -3)] n=15, fixed words = 13751775
g = [('a', 6), ('b', 2), ('a', -4), ('b', 10), ('a', 2), ('b', -2), ('a', -6)] n=15, fixed words = 9568503
g = [('a', 8), ('b', -9), ('a', -2), ('b', -7), ('a', 4), ('b', 9), ('a', -6)] n=15, fixed words = 9568503
g = [('b', -7), ('a', 9), ('b', 7), ('a', -1), ('b', 2), ('a', -9), ('b', 2)] n=15, fixed words = 9568503
g = [('b', -8), ('a', 2), ('b', -4), ('a', 7), ('b', -5), ('a', 4), ('b', 2)] n=15, fixed words = 11058039
g = [('a', -4), ('b', 1), ('a', -7), ('b', 8), ('a', -7), ('b', -3), ('a', -9)] n=15, fixed words = 13199112
g = [('b', 1), ('a', 8), ('b', 4), ('a', -1), ('b', -4), ('a', 3), ('b', 4)] n=15, fixed words = 9568503
g = [('b', -4), ('a', 1), ('b', -6), ('a', -7), ('b', 6), ('a', 6), ('b', 4)] n=15, fixed words = 14260455
g = [('b', 1), ('a', 5), ('b', -5), ('a', 5), ('b', -7), ('a', 10), ('b', 5)] n=15, fixed words = 11057796
g = [('b', 2), ('a', 8), ('b', -9), ('a', -1), ('b', 1), ('a', 9), ('b', -9)] n=15, fixed words = 11072133
g = [('b', 6), ('a', -4), ('b', -10), ('a', 2), ('b', -2), ('a', 3), ('b', -9)] n=15, fixed words = 11008791
g = [('b', 7), ('a', 7), ('b', 1), ('a', 3), ('b', -8), ('a', 5), ('b', -9)] n=15, fixed words = 13050720
g = [('b', -6), ('a', 3), ('b', 7), ('a', 3), ('b', -1), ('a', 10), ('b', 7)] n=15, fixed words = 9568503
g = [('a', 3), ('b', -10), ('a', -9), ('b', -5), ('a', -2), ('b', 8), ('a', 3)] n=15, fixed words = 9568503
g = [('a', 1), ('b', 8), ('a', 10), ('b', -1), ('a', -10), ('b', -5), ('a', 3)] n=15, fixed words = 9568503
g = [('b', 3), ('a', 6), ('b', -1), ('a', -9), ('b', -8), ('a', 5), ('b', -9)] n=15, fixed words = 11072133
g = [('a', -3), ('b', -1), ('a', -1), ('b', 10), ('a', -5), ('b', -5), ('a', -8)] n=15, fixed words = 9568503
g = [('a', 1), ('b', -8), ('a', 7), ('b', 4), ('a', 9), ('b', -6), ('a', 1)] n=15, fixed words = 11482884
g = [('b', 1), ('a', 4), ('b', -8), ('a', -4), ('b', -2), ('a', -6), ('b', 2)] n=15, fixed words = 11008791
g = [('a', -3), ('b', 3), ('a', 9), ('b', -10), ('a', -8), ('b', -10), ('a', 6)] n=15, fixed words = 9568503
g = [('b', -4), ('a', -6), ('b', 7), ('a', 3), ('b', 7), ('a', -1), ('b', -8)] n=15, fixed words = 9568503
g = [('b', 7), ('a', -6), ('b', -2), ('a', 8), ('b', 4), ('a', 3), ('b', 5)] n=15, fixed words = 9568503
g = [('b', -4), ('a', 4), ('b', 7), ('a', -7), ('b', 1), ('a', -9), ('b', 10)] n=15, fixed words = 11008791
g = [('a', -4), ('b', 4), ('a', 9), ('b', 5), ('a', 7), ('b', 6), ('a', 1)] n=15, fixed words = 11072133
g = [('a', -7), ('b', 10), ('a', -8), ('b', -4), ('a', 1), ('b', -5), ('a', 4)] n=15, fixed words = 9568503
g = [('b', -7), ('a', -1), ('b', -5), ('a', 2), ('b', 6), ('a', 7), ('b', -6)] n=15, fixed words = 11072133
g = [('a', 4), ('b', 9), ('a', 1), ('b', 5), ('a', 7), ('b', 8), ('a', 3)] n=15, fixed words = 11004417
g = [('a', -4), ('b', -10), ('a', -10), ('b', 8), ('a', -4), ('b', -7), ('a', 8)] n=15, fixed words = 11419218
g = [('a', 10), ('b', 7), ('a', 9), ('b', 2), ('a', 10), ('b', 3), ('a', 4)] n=15, fixed words = 12794193
g = [('a', -4), ('b', 10), ('a', 7), ('b', 4), ('a', 8), ('b', 4), ('a', -1)] n=15, fixed words = 11402370
g = [('b', 5), ('a', 9), ('b', -8), ('a', 10), ('b', -4), ('a', 6), ('b', -9)] n=15, fixed words = 9568503
g = [('b', 6), ('a', 3), ('b', -8), ('a', -7), ('b', 9), ('a', 3), ('b', -6)] n=15, fixed words = 9568503
g = [('b', -2), ('a', 5), ('b', -3), ('a', -1), ('b', 2), ('a', -2), ('b', -10)] n=15, fixed words = 9568503
g = [('b', 3), ('a', 4), ('b', -1), ('a', -4), ('b', 1), ('a', -3), ('b', -2)] n=15, fixed words = 11008791
g = [('a', 2), ('b', -5), ('a', 8), ('b', -2), ('a', -7), ('b', -7), ('a', -5)] n=15, fixed words = 9568503
g = [('b', -8), ('a', -5), ('b', 7), ('a', 5), ('b', 2), ('a', 7), ('b', 8)] n=15, fixed words = 11482884
g = [('b', -5), ('a', -3), ('b', 3), ('a', -9), ('b', 2), ('a', 9), ('b', 4)] n=15, fixed words = 11076507
g = [('a', -10), ('b', -4), ('a', -9), ('b', -9), ('a', -6), ('b', 2), ('a', -7)] n=15, fixed words = 9568503
g = [('b', 7), ('a', 9), ('b', -8), ('a', 3), ('b', 10), ('a', 6), ('b', -7)] n=15, fixed words = 11544930
g = [('b', -3), ('a', -6), ('b', -1), ('a', -3), ('b', 7), ('a', 4), ('b', -2)] n=15, fixed words = 9568503
g = [('b', 3), ('a', 6), ('b', 6), ('a', 1), ('b', -3), ('a', 7), ('b', 2)] n=15, fixed words = 9568503
g = [('b', 6), ('a', 7), ('b', -1), ('a', 3), ('b', 9), ('a', -1), ('b', -3)] n=15, fixed words = 11541771
g = [('a', -2), ('b', 1), ('a', 10), ('b', 7), ('a', 7), ('b', -9), ('a', 6)] n=15, fixed words = 11004417
g = [('b', 3), ('a', 3), ('b', -3), ('a', -3), ('b', 10), ('a', 6), ('b', -4)] n=15, fixed words = 12802941
g = [('b', -1), ('a', -9), ('b', 4), ('a', 7), ('b', 2), ('a', 9), ('b', 7)] n=15, fixed words = 11076507
g = [('b', 1), ('a', -9), ('b', -4), ('a', 6), ('b', 4), ('a', 8), ('b', 3)] n=15, fixed words = 9568503
